# Eg[keV]	nEvents	nCounts	cntFE	cntSE	cntDE	cnt511	cntRest	cntRestNoThres
50	1e+07	327136	258618	0	0	0	68518.5	64793
100	1e+07	471634	337842	0	0	0	133792	132951
200	1e+07	497085	333122	0	0	0	163962	164008
400	1e+07	496634	275641	0	0	0	220987	195047
600	1e+07	490915	236172	0	0	0	254685	224292
800	1e+07	482478	210884	0	0	0	271386	240297
1000	1e+07	476179	195195	0	0	0	280492	251545
1200	1e+07	467438	181978	196.5	8.25	131	284259	256179
1400	1e+07	460848	170708	1128.5	187.25	365.5	287231	260095
1600	1e+07	456137	161160	2733.5	429	874	289236	262663
1800	1e+07	452794	152139	4548.75	758	1526.25	291564	265387
2000	1e+07	451818	145090	6699	1111.25	2302.75	293814	267899
2200	1e+07	449274	138951	8997	1485.75	3140	293470	268529
2400	1e+07	448137	132695	11518	1869.25	3993.5	294174	269168
2600	1e+07	447678	127604	13939.8	2235.75	4788.25	294779	270053
2800	1e+07	447584	121517	16335.2	2378	5634.75	296704	272216
3000	1e+07	448165	117264	18370.8	2789.75	6341	297988	274097
3200	1e+07	450407	113335	20467.8	3074	7474.25	300184	276394
3400	1e+07	450923	109170	22435.5	3411.5	8244.25	301383	277683
3600	1e+07	450779	105123	24030	3674.75	8965.25	302285	279174
3800	1e+07	452682	102320	25510	3923.25	9550.5	304294	281748
4000	1e+07	455263	99138	27629.8	4167.25	10205.2	306705	283702
4200	1e+07	456232	95912	28984.5	4187.25	10888.5	308579	286035
4400	1e+07	457568	93025	30539.2	4375.5	11672.5	309787	286758
4600	1e+07	460666	90864.5	31601	4603.75	12240	312945	289451
4800	1e+07	462539	88727.2	32573.8	4645.25	12577	315360	293309
5000	1e+07	464438	86275.2	33657	4711.75	13380	317282	294594
5200	1e+07	467611	84103.8	33946.2	4943.75	13994	321188	298316
5400	1e+07	468253	81999.5	34701	4872	14421.8	322727	299436
5600	1e+07	471105	79474.2	35461.2	5080.75	14764	326553	303804
5800	1e+07	474115	78274	36444.2	5044.75	15285.2	328991	305498
6000	1e+07	476157	76378	36809.8	5102.25	15770.5	331626	307449
6200	1e+07	477919	74508.8	36998	5064.75	15999.8	334607	310302
6400	1e+07	481031	72797.5	37545.5	5104	16277.5	338574	314284
6600	1e+07	482301	70832.5	37224.5	5203.5	16964.5	340993	316420
6800	1e+07	485517	68881.2	38101.5	5204.5	17151.5	344827	320230
7000	1e+07	487667	68300	37756.5	5114.75	17535	347460	322887
7200	1e+07	489157	66673.2	37919	5090.75	17715	350078	326074
7400	1e+07	492403	65150	37872	5202	18111.8	354187	329970
7600	1e+07	494346	63530	37584.2	5175.25	18314.2	357461	332633
7800	1e+07	496799	62261.8	37221.5	5062.25	18563	361238	335781
8000	1e+07	498371	61070.2	37727.5	5059	18855.8	363250	337877
8200	1e+07	500492	59578.2	37220	5033.75	18809	367213	341453
8400	1e+07	503890	58843.2	37054.8	4814.75	19566.8	370786	344533
8600	1e+07	507439	57539.8	37016	4935	19505.2	375169	348484
8800	1e+07	507714	56541.5	36363.8	5039.5	19857.2	376456	350468
9000	1e+07	510472	54867	36240.5	4799.25	20011.2	381131	354482
9200	1e+07	512766	53678.8	36347.5	4857.75	20137.5	384032	357477
9400	1e+07	513106	52988.5	35626.8	4765.75	20082.5	385830	359292
9600	1e+07	516092	51596	34625	4666.25	20254.8	390885	362810
9800	1e+07	518116	50821	34682.2	4639.5	20291	393467	365013
10000	1e+07	520046	49379.5	34323	4467.25	20698.8	397016	369477
