# Eg[keV]	nEvents	nCounts	cntFE	cntSE	cntDE	cnt511	cntRest	cntRestNoThres
50	1e+07	1.78434e+06	1.43176e+06	0	0	0	352582	340910
100	1e+07	2.5433e+06	1.85154e+06	0	0	0	691762	682515
200	1e+07	2.63723e+06	965410	0	0	0	1.67182e+06	1.07928e+06
400	1e+07	2.64323e+06	546252	0	0	0	2.09696e+06	1.2364e+06
600	1e+07	2.58942e+06	250440	0	0	0	2.33866e+06	1.07396e+06
800	1e+07	2.5165e+06	145098	0	0	0	2.37052e+06	943461
1000	1e+07	2.44096e+06	118929	0	0	0	2.32037e+06	862354
1200	1e+07	2.36534e+06	262960	608.25	280.25	319.25	2.09848e+06	1.0119e+06
1400	1e+07	2.30706e+06	299734	1574.5	869	1196.5	1.99972e+06	1.1098e+06
1600	1e+07	2.25978e+06	305973	3092.5	1570.25	2518.5	1.94143e+06	1.17576e+06
1800	1e+07	2.21725e+06	299738	4418	2611	4260.75	1.89957e+06	1.21806e+06
2000	1e+07	2.18988e+06	289461	4098	2930.5	5484.5	1.88008e+06	1.24668e+06
2200	1e+07	2.1655e+06	276414	9017.25	5085	8201.5	1.85768e+06	1.27797e+06
2400	1e+07	2.14788e+06	264744	14587	7529.75	11176.2	1.83938e+06	1.30477e+06
2600	1e+07	2.13439e+06	253170	20486.5	10159.2	14451.8	1.82449e+06	1.32686e+06
2800	1e+07	2.12569e+06	240625	26312.8	12918.2	17629.8	1.81582e+06	1.34826e+06
3000	1e+07	2.11771e+06	227808	32276	15451.5	20778.8	1.80774e+06	1.36529e+06
3200	1e+07	2.11662e+06	215973	37947.8	17739.8	23934.5	1.80656e+06	1.38417e+06
3400	1e+07	2.11464e+06	206482	43704	19796.5	26663	1.80275e+06	1.3987e+06
3600	1e+07	2.11629e+06	196913	48675.8	22237.5	29688.5	1.80298e+06	1.41416e+06
3800	1e+07	2.12098e+06	187452	53332.5	23907	32098	1.80776e+06	1.43191e+06
4000	1e+07	2.12359e+06	178808	58184.8	25731.2	34706.2	1.80927e+06	1.4461e+06
4200	1e+07	2.13293e+06	170411	61954.5	27365.8	37524.5	1.81799e+06	1.46079e+06
4400	1e+07	2.13704e+06	162589	65852	28923.5	39697	1.82207e+06	1.476e+06
4600	1e+07	2.14532e+06	156622	69528.2	30111.5	42283.2	1.82833e+06	1.48821e+06
4800	1e+07	2.15434e+06	149083	72410.8	31110.8	44211.5	1.83891e+06	1.50561e+06
5000	1e+07	2.16166e+06	142358	75174.5	32295.8	45987.8	1.8469e+06	1.52107e+06
5200	1e+07	2.16807e+06	136425	77967	32973.2	48049.5	1.85334e+06	1.53136e+06
5400	1e+07	2.17576e+06	131010	79710.5	33663	50170	1.86182e+06	1.54403e+06
5600	1e+07	2.18772e+06	125032	81977	34668.8	52003	1.87416e+06	1.55976e+06
5800	1e+07	2.19854e+06	120816	83049.2	34897.5	53575.2	1.8862e+06	1.57609e+06
6000	1e+07	2.20659e+06	115419	84923.5	35413	55112	1.89567e+06	1.58986e+06
6200	1e+07	2.21898e+06	110590	85852.2	35459	56715.2	1.9101e+06	1.60489e+06
6400	1e+07	2.22945e+06	106755	86389.8	35705.5	57964.5	1.9218e+06	1.61924e+06
6600	1e+07	2.23912e+06	102868	87018.5	36060	59847.2	1.9327e+06	1.63143e+06
6800	1e+07	2.25105e+06	98866.8	88120	35841.2	60772.8	1.94694e+06	1.64914e+06
7000	1e+07	2.26168e+06	95035.5	88241.8	36183.5	62606.2	1.95852e+06	1.66229e+06
7200	1e+07	2.27177e+06	91680.2	88278	36057	62973	1.97146e+06	1.67657e+06
7400	1e+07	2.28519e+06	88481.8	88844	35810.8	64516.8	1.9863e+06	1.69294e+06
7600	1e+07	2.29499e+06	84929	87953.5	35783.5	65750.8	1.99925e+06	1.70843e+06
7800	1e+07	2.30497e+06	81863	87990.2	35329.2	66743.2	2.01181e+06	1.71952e+06
8000	1e+07	2.31989e+06	78849.2	87077.2	34897	67983	2.02979e+06	1.73867e+06
8200	1e+07	2.32432e+06	76176.8	86864.2	34760.5	68388	2.03654e+06	1.74619e+06
8400	1e+07	2.34079e+06	73733.2	86118.5	34031.2	69615.2	2.05564e+06	1.76406e+06
8600	1e+07	2.35075e+06	71105.8	85286.5	33784.5	70366.8	2.06839e+06	1.77849e+06
8800	1e+07	2.35768e+06	69110.5	84458.8	33936.5	70892.5	2.07764e+06	1.78882e+06
9000	1e+07	2.37124e+06	66745.8	83662.2	32641.5	72292.8	2.09399e+06	1.80422e+06
9200	1e+07	2.38176e+06	64510.5	82517.2	32582.5	72719	2.10784e+06	1.81884e+06
9400	1e+07	2.39196e+06	62667.8	81159.2	32012.8	73510.2	2.12068e+06	1.8329e+06
9600	1e+07	2.4011e+06	59910.8	80437.8	31467.5	73894.8	2.13329e+06	1.8463e+06
9800	1e+07	2.41216e+06	57924	79275	30793	74666.2	2.14728e+06	1.8599e+06
10000	1e+07	2.42257e+06	55800	77719	30725.8	75545.5	2.16109e+06	1.87334e+06
