Eg,FWHM_rel_norm,Eff_tot,FE,SE,DE,c511
100.0,8.523215290535743,,,0.0,0.0,0.0
200.0,5.8153,1.1357391222434887,951816.0,0.0,0.0,0.0
400.0,2.939,1.138310994475643,544078.0,0.0,0.0,0.0
600.0,1.9935999999999998,1.115008247241571,249817.99999999997,0.0,0.0,0.0
800.0,1.5305,1.0833645721119252,144740.0,0.0,0.0,0.0
1000.0,1.2598,1.050499559130573,118766.0,0.0,0.0,0.0
1200.0,1.0848,1.017322536532309,262826.0,607.0,-2055.5,379.0
1400.0,0.96405,0.9912736094160549,299646.0,1650.2500000000002,954.5,1314.5
1600.0,0.8768199999999999,0.969839366978912,305866.0,3035.25,1678.25,2578.25
1800.0,0.81161,0.9501555221786732,299638.0,4572.25,2742.5000000000005,4291.25
2000.0,0.76155,0.9373039128096254,289388.0,4007.25,2905.5,5588.25
2200.0,0.72228,0.9251007623510878,276366.0,8693.25,4895.25,8269.75
2400.0,0.69092,0.9156896565424354,264670.0,14477.5,7684.0,11145.2
2600.0,0.66549,0.9079550910217565,253105.0,20469.5,10217.0,14442.199999999999
2800.0,0.6446099999999999,0.9025521352552819,240591.0,26290.8,12843.8,17544.2
3000.0,0.62725,0.8972040880135225,227766.0,31899.2,15272.0,20704.2
3200.0,0.6126699999999999,0.8949923726379908,215929.00000000003,37707.5,17615.0,23948.5
3400.0,0.60033,0.8926841474554887,206439.0,43590.5,19762.199999999997,26538.199999999997
3600.0,0.58978,0.8918905793104467,196886.0,48469.5,22083.5,29483.2
3800.0,0.5807100000000001,0.8925502567862026,187419.0,53083.0,23748.8,32008.2
4000.0,0.57285,0.892370329087175,178754.0,57833.0,25626.0,34579.5
4200.0,0.5660000000000001,0.8948489644910873,170358.0,61576.0,27224.5,37367.0
4400.0,0.5599900000000001,0.8955886146181343,162552.0,65804.2,28729.8,39542.5
4600.0,0.5547000000000001,0.8978189773593145,156573.0,69095.8,29746.199999999997,42098.8
4800.0,0.55001,0.9008449323244871,149054.0,71936.2,30751.2,43926.0
5000.0,0.54584,0.9030280952671669,142312.0,74975.0,32063.8,45848.8
5200.0,0.5421100000000001,0.904730044205793,136410.0,77691.0,32761.8,47936.19999999999
5400.0,0.53877,0.9071279317792417,130986.0,79307.8,33597.0,49979.5
5600.0,0.53577,0.9112821169644072,125015.0,81777.2,34504.8,51805.99999999999
5800.0,0.53305,0.9152359613990035,120783.0,82780.0,34485.0,53315.80000000001
6000.0,0.53059,0.9179194594319912,115368.0,84504.0,35197.2,55088.0
6200.0,0.52836,0.9225449104884973,110555.0,85609.5,35245.2,56527.2
6400.0,0.5263200000000001,0.9262313611741076,106729.00000000001,86074.8,35516.0,57861.8
6600.0,0.52445,0.9296864208767414,102846.0,86451.8,35664.8,59724.5
6800.0,0.52275,0.9345143228937861,98843.8,87638.2,35801.2,60556.00000000001
7000.0,0.52118,0.9380535326021404,95006.8,87686.8,35867.8,62385.5
7200.0,0.5197400000000001,0.9421866156876114,91665.8,87988.8,35744.0,62653.8
7400.0,0.51841,0.9472857012184852,88462.5,88462.2,35544.2,64309.50000000001
7600.0,0.51718,0.9510322282899606,84908.5,87703.2,35626.8,65331.2
7800.0,0.5160399999999999,0.9548769877887894,81858.0,87565.0,35043.2,66470.5
8000.0,0.51498,0.960716067970787,78819.8,86847.2,34467.8,67777.2
8200.0,0.5140000000000001,0.9622643591712293,76155.8,86246.0,34608.2,68307.0
8400.0,0.51308,0.9689277993376192,73703.0,85530.80000000002,33749.0,69245.8
8600.0,0.51223,0.9726575739258677,71084.2,85071.8,33727.5,70380.5
8800.0,0.51143,0.975542144823087,69085.8,84090.99999999999,33674.8,70780.5
9000.0,0.51069,0.980705182635688,66731.2,83351.0,32708.2,72084.5
9200.0,0.5099899999999999,0.9852069926141882,64501.80000000001,82109.8,32342.199999999997,72484.2
9400.0,0.5093300000000001,0.9890983920598928,62638.8,80996.5,31554.5,73297.5
9600.0,0.50872,0.9928050404694967,59891.0,80101.8,31354.0,73659.5
9800.0,0.5081399999999999,0.9971948801230872,57921.8,79084.2,30564.2,74405.8
10000.0,0.5076,1.0015549615095576,55787.2,77272.5,30384.8,75219.2
