179		       		179				179				179
  1.000       9.726         1.000       9.752       	   1.000       4.489           	   1.000       11.08      
  2.000       9.710    	    2.000       9.619    	   2.000       4.411    	   2.000       11.14    
  3.000       9.686    	    3.000       9.397    	   3.000       4.282    	   3.000       11.23    
  4.000       9.656    	    4.000       9.086    	   4.000       4.106    	   4.000       11.35    
  5.000       9.623    	    5.000       8.694    	   5.000       3.888    	   5.000       11.50    
  6.000       9.591    	    6.000       8.228    	   6.000       3.636    	   6.000       11.65    
  7.000       9.560    	    7.000       7.708    	   7.000       3.361    	   7.000       11.80    
  8.000       9.532    	    8.000       7.156    	   8.000       3.077    	   8.000       11.95    
  9.000       9.503    	    9.000       6.604    	   9.000       2.801    	   9.000       12.06    
  10.00       9.471    	    10.00       6.083    	   10.00       2.550    	   10.00       12.15    
  11.00       9.429    	    11.00       5.629    	   11.00       2.340    	   11.00       12.18    
  12.00       9.369    	    12.00       5.268    	   12.00       2.186    	   12.00       12.16    
  13.00       9.282    	    13.00       5.024    	   13.00       2.096    	   13.00       12.06    
  14.00       9.160    	    14.00       4.908    	   14.00       2.077    	   14.00       11.90    
  15.00       8.996    	    15.00       4.918    	   15.00       2.125    	   15.00       11.65    
  16.00       8.785    	    16.00       5.044    	   16.00       2.233    	   16.00       11.32    
  17.00       8.524    	    17.00       5.263    	   17.00       2.388    	   17.00       10.92    
  18.00       8.216    	    18.00       5.545    	   18.00       2.573    	   18.00       10.44    
  19.00       7.867    	    19.00       5.858    	   19.00       2.771    	   19.00       9.915    
  20.00       7.483    	    20.00       6.167    	   20.00       2.963    	   20.00       9.346    
  21.00       7.077    	    21.00       6.443    	   21.00       3.132    	   21.00       8.756    
  22.00       6.661    	    22.00       6.661    	   22.00       3.266    	   22.00       8.165    
  23.00       6.245    	    23.00       6.804    	   23.00       3.355    	   23.00       7.591    
  24.00       5.843    	    24.00       6.862    	   24.00       3.395    	   24.00       7.052    
  25.00       5.462    	    25.00       6.832    	   25.00       3.386    	   25.00       6.562    
