179	179	179	179
   1.000       3.476		   1.000	5.816	 	   1.000	 4.442	  	   1.000	  2.683
   2.000       3.476		   2.000	5.869	 	   2.000	 4.469	  	   2.000	  2.705
   3.000       3.476		   3.000	5.956	 	   3.000	 4.513	  	   3.000	  2.741
   4.000       3.476		   4.000	6.079	 	   4.000	 4.576	  	   4.000	  2.790
   5.000       3.474		   5.000	6.236	 	   5.000	 4.659	  	   5.000	  2.854
   6.000       3.472		   6.000	6.430	 	   6.000	 4.760	  	   6.000	  2.930
   7.000       3.467		   7.000	6.658	 	   7.000	 4.881	  	   7.000	  3.018
   8.000       3.460		   8.000	6.921	 	   8.000	 5.023	  	   8.000	  3.116
   9.000       3.450		   9.000	7.218	 	   9.000	 5.183	  	   9.000	  3.223
   10.00       3.438		   10.00	7.547	 	   10.00	 5.363	  	   10.00	  3.337
   11.00       3.423		   11.00	7.906	 	   11.00	 5.559	  	   11.00	  3.456
   12.00       3.407		   12.00	8.292	 	   12.00	 5.771	  	   12.00	  3.576
   13.00       3.389		   13.00	8.701	 	   13.00	 5.995	  	   13.00	  3.697
   14.00       3.373		   14.00	9.129	 	   14.00	 6.229	  	   14.00	  3.816
   15.00       3.359		   15.00	9.570	 	   15.00	 6.468	  	   15.00	  3.930
   16.00       3.350		   16.00	10.02	 	   16.00	 6.710	  	   16.00	  4.038
   17.00       3.349		   17.00	10.47	 	   17.00	 6.949	  	   17.00	  4.139
   18.00       3.358		   18.00	10.92	 	   18.00	 7.182	  	   18.00	  4.233
   19.00       3.381		   19.00	11.35	 	   19.00	 7.406	  	   19.00	  4.317
   20.00       3.422		   20.00	11.77	 	   20.00	 7.616	  	   20.00	  4.394
   21.00       3.483		   21.00	12.16	 	   21.00	 7.811	  	   21.00	  4.463
   22.00       3.567		   22.00	12.53	 	   22.00	 7.987	  	   22.00	  4.523
   23.00       3.679		   23.00	12.86	 	   23.00	 8.143	  	   23.00	  4.577
   24.00       3.819		   24.00	13.15	 	   24.00	 8.276	  	   24.00	  4.624
   25.00       3.991		   25.00	13.40	 	   25.00	 8.387	  	   25.00	  4.663
   26.00       4.195		   26.00	13.61	 	   26.00	 8.472	  	   26.00	  4.695
   27.00       4.432		   27.00	13.77	 	   27.00	 8.534	  	   27.00	  4.718
   28.00       4.702		   28.00	13.89	 	   28.00	 8.570	  	   28.00	  4.733
   29.00       5.002		   29.00	13.95	 	   29.00	 8.582	  	   29.00	  4.738
   30.00       5.332		   30.00	13.97	 	   30.00	 8.570	  	   30.00	  4.733
   31.00       5.687		   31.00	13.94	 	   31.00	 8.536	  	   31.00	  4.717
   32.00       6.064		   32.00	13.87	 	   32.00	 8.482	  	   32.00	  4.692
   33.00       6.458		   33.00	13.76	 	   33.00	 8.410	  	   33.00	  4.659
   34.00       6.864		   34.00	13.62	 	   34.00	 8.324	  	   34.00	  4.620
   35.00       7.275		   35.00	13.44	 	   35.00	 8.227	  	   35.00	  4.576
   36.00       7.687		   36.00	13.25	 	   36.00	 8.124	  	   36.00	  4.530
   37.00       8.093		   37.00	13.03	 	   37.00	 8.018	  	   37.00	  4.487
   38.00       8.488		   38.00	12.81	 	   38.00	 7.913	  	   38.00	  4.448
   39.00       8.868		   39.00	12.59	 	   39.00	 7.814	  	   39.00	  4.416
   40.00       9.226		   40.00	12.37	 	   40.00	 7.722	  	   40.00	  4.394
   41.00       9.560		   41.00	12.15	 	   41.00	 7.640	  	   41.00	  4.383
   42.00       9.867		   42.00	11.95	 	   42.00	 7.570	  	   42.00	  4.384
   43.00       10.14		   43.00	11.77	 	   43.00	 7.513	  	   43.00	  4.396
   44.00       10.39		   44.00	11.61	 	   44.00	 7.469	  	   44.00	  4.420
   45.00       10.60		   45.00	11.46	 	   45.00	 7.437	  	   45.00	  4.454
   46.00       10.77		   46.00	11.33	 	   46.00	 7.416	  	   46.00	  4.495
   47.00       10.91		   47.00	11.23	 	   47.00	 7.405	  	   47.00	  4.542
   48.00       11.02		   48.00	11.14	 	   48.00	 7.402	  	   48.00	  4.592
   49.00       11.09		   49.00	11.06	 	   49.00	 7.404	  	   49.00	  4.644
   50.00       11.13		   50.00	11.00	 	   50.00	 7.410	  	   50.00	  4.694
   51.00       11.13		   51.00	10.95	 	   51.00	 7.419	  	   51.00	  4.742
   52.00       11.11		   52.00	10.91	 	   52.00	 7.427	  	   52.00	  4.785
   53.00       11.06		   53.00	10.87	 	   53.00	 7.434	  	   53.00	  4.823
   54.00       10.98		   54.00	10.83	 	   54.00	 7.437	  	   54.00	  4.853
   55.00       10.87		   55.00	10.79	 	   55.00	 7.435	  	   55.00	  4.877
   56.00       10.74		   56.00	10.75	 	   56.00	 7.426	  	   56.00	  4.893
   57.00       10.59		   57.00	10.69	 	   57.00	 7.410	  	   57.00	  4.900
   58.00       10.42		   58.00	10.63	 	   58.00	 7.384	  	   58.00	  4.899
   59.00       10.23		   59.00	10.56	 	   59.00	 7.347	  	   59.00	  4.889
   60.00       10.03		   60.00	10.47	 	   60.00	 7.298	  	   60.00	  4.871
   61.00       9.823		   61.00	10.36	 	   61.00	 7.238	  	   61.00	  4.845
   62.00       9.603		   62.00	10.24	 	   62.00	 7.164	  	   62.00	  4.810
   63.00       9.376		   63.00	10.09	 	   63.00	 7.077	  	   63.00	  4.768
   64.00       9.144		   64.00	9.932	 	   64.00	 6.978	  	   64.00	  4.719
   65.00       8.909		   65.00	9.750	 	   65.00	 6.866	  	   65.00	  4.663
   66.00       8.673		   66.00	9.549	 	   66.00	 6.741	  	   66.00	  4.600
   67.00       8.439		   67.00	9.330	 	   67.00	 6.606	  	   67.00	  4.532
   68.00       8.207		   68.00	9.095	 	   68.00	 6.460	  	   68.00	  4.459
   69.00       7.981		   69.00	8.845	 	   69.00	 6.306	  	   69.00	  4.382
   70.00       7.761		   70.00	8.582	 	   70.00	 6.144	  	   70.00	  4.301
   71.00       7.549		   71.00	8.310	 	   71.00	 5.975	  	   71.00	  4.216
   72.00       7.347		   72.00	8.031	 	   72.00	 5.802	  	   72.00	  4.129
   73.00       7.155		   73.00	7.746	 	   73.00	 5.624	  	   73.00	  4.040
   74.00       6.976		   74.00	7.460	 	   74.00	 5.445	  	   74.00	  3.949
   75.00       6.809		   75.00	7.174	 	   75.00	 5.264	  	   75.00	  3.857
   76.00       6.655		   76.00	6.892	 	   76.00	 5.084	  	   76.00	  3.764
   77.00       6.516		   77.00	6.615	 	   77.00	 4.905	  	   77.00	  3.671
   78.00       6.390		   78.00	6.345	 	   78.00	 4.729	  	   78.00	  3.577
   79.00       6.279		   79.00	6.085	 	   79.00	 4.556	  	   79.00	  3.484
   80.00       6.182		   80.00	5.836	 	   80.00	 4.388	  	   80.00	  3.391
   81.00       6.098		   81.00	5.599	 	   81.00	 4.226	  	   81.00	  3.300
   82.00       6.028		   82.00	5.376	 	   82.00	 4.070	  	   82.00	  3.210
   83.00       5.970		   83.00	5.166	 	   83.00	 3.921	  	   83.00	  3.122
   84.00       5.923		   84.00	4.972	 	   84.00	 3.781	  	   84.00	  3.037
   85.00       5.887		   85.00	4.792	 	   85.00	 3.649	  	   85.00	  2.954
   86.00       5.859		   86.00	4.628	 	   86.00	 3.526	  	   86.00	  2.874
   87.00       5.840		   87.00	4.479	 	   87.00	 3.412	  	   87.00	  2.798
   88.00       5.828		   88.00	4.344	 	   88.00	 3.308	  	   88.00	  2.725
   89.00       5.822		   89.00	4.224	 	   89.00	 3.212	  	   89.00	  2.656
