179			179			179			179			179
1.0000	8.4897		1.0000	18.2348		1.0000	47.4723		1.0000	34.3276		1.0000	137.6827
2.0000	8.4977		2.0000	18.2408		2.0000	46.6147		2.0000	34.3255		2.0000	135.1840
3.0000	8.5115		3.0000	18.2517		3.0000	45.2171		3.0000	34.3219		3.0000	131.1127
4.0000	8.5315		4.0000	18.2681		4.0000	43.3254		4.0000	34.3165		4.0000	125.6031
5.0000	8.5584		5.0000	18.2913		5.0000	41.0003		5.0000	34.3085		5.0000	118.8332
6.0000	8.5925		6.0000	18.3220		6.0000	38.3140		6.0000	34.2970		6.0000	111.0148
7.0000	8.6341		7.0000	18.3608		7.0000	35.3470		7.0000	34.2801		7.0000	102.3833
8.0000	8.6833		8.0000	18.4078		8.0000	32.1841		8.0000	34.2554		8.0000	93.1866
9.0000	8.7397		9.0000	18.4620		9.0000	28.9104		9.0000	34.2195		9.0000	83.6734
10.0000	8.8021		10.0000	18.5219		10.0000	25.6082		10.0000	34.1681		10.0000	74.0836
11.0000	8.8691		11.0000	18.5847		11.0000	22.3537		11.0000	34.0963		11.0000	64.6393
12.0000	8.9386		12.0000	18.6467		12.0000	19.2146		12.0000	33.9980		12.0000	55.5374
13.0000	9.0080		13.0000	18.7034		13.0000	16.2487		13.0000	33.8668		13.0000	46.9451
14.0000	9.0742		14.0000	18.7494		14.0000	13.5020		14.0000	33.6958		14.0000	38.9959
15.0000	9.1338		15.0000	18.7788		15.0000	11.0092		15.0000	33.4778		15.0000	31.7895
16.0000	9.1831		16.0000	18.7853		16.0000	8.7932		16.0000	33.2058		16.0000	25.3911
17.0000	9.2186		17.0000	18.7624		17.0000	6.8659		17.0000	32.8734		17.0000	19.8340
18.0000	9.2365		18.0000	18.7040		18.0000	5.2292		18.0000	32.4747		18.0000	15.1226
19.0000	9.2334		19.0000	18.6043		19.0000	3.8763		19.0000	32.0046		19.0000	11.2357
20.0000	9.2063		20.0000	18.4583		20.0000	2.7932		20.0000	31.4595		20.0000	8.1311
21.0000	9.1525		21.0000	18.2617		21.0000	1.9600		21.0000	30.8370		21.0000	5.7502
22.0000	9.0701		22.0000	18.0113		22.0000	1.3528		22.0000	30.1361		22.0000	4.0222
23.0000	8.9575		23.0000	17.7052		23.0000	0.9447		23.0000	29.3577		23.0000	2.8683
24.0000	8.8140		24.0000	17.3425		24.0000	0.7075		24.0000	28.5038		24.0000	2.2060
25.0000	8.6395		25.0000	16.9236		25.0000	0.6127		25.0000	27.5783		25.0000	1.9520
26.0000	8.4346		26.0000	16.4503		26.0000	0.6323		26.0000	26.5865		26.0000	2.0254
27.0000	8.2005		27.0000	15.9253		27.0000	0.7401		27.0000	25.5347		27.0000	2.3498
28.0000	7.9389		28.0000	15.3524		28.0000	0.9118		28.0000	24.4306		28.0000	2.8550
29.0000	7.6523		29.0000	14.7364		29.0000	1.1255		29.0000	23.2826		29.0000	3.4784
30.0000	7.3432		30.0000	14.0828		30.0000	1.3622		30.0000	22.0997		30.0000	4.1654
31.0000	7.0148		31.0000	13.3975		31.0000	1.6058		31.0000	20.8913		31.0000	4.8695
32.0000	6.6705		32.0000	12.6872		32.0000	1.8428		32.0000	19.6671		32.0000	5.5529
33.0000	6.3136		33.0000	11.9584		33.0000	2.0627		33.0000	18.4365		33.0000	6.1853
34.0000	5.9478		34.0000	11.2179		34.0000	2.2574		34.0000	17.2089		34.0000	6.7438
35.0000	5.5766		35.0000	10.4725		35.0000	2.4211		35.0000	15.9931		35.0000	7.2122
36.0000	5.2036		36.0000	9.7287		36.0000	2.5501		36.0000	14.7974		36.0000	7.5801
37.0000	4.8320		37.0000	8.9927		37.0000	2.6425		37.0000	13.6296		37.0000	7.8422
38.0000	4.4650		38.0000	8.2703		38.0000	2.6978		38.0000	12.4966		38.0000	7.9976
39.0000	4.1055		39.0000	7.5668		39.0000	2.7171		39.0000	11.4047		39.0000	8.0487
40.0000	3.7563		40.0000	6.8869		40.0000	2.7021		40.0000	10.3592		40.0000	8.0010
41.0000	3.4196		41.0000	6.2350		41.0000	2.6556		41.0000	9.3649		41.0000	7.8624
42.0000	3.0975		42.0000	5.6146		42.0000	2.5809		42.0000	8.4254		42.0000	7.6423
43.0000	2.7916		43.0000	5.0287		43.0000	2.4817		43.0000	7.5439		43.0000	7.3513
44.0000	2.5035		44.0000	4.4796		44.0000	2.3619		44.0000	6.7225		44.0000	7.0007
45.0000	2.2342		45.0000	3.9692		45.0000	2.2256		45.0000	5.9626		45.0000	6.6021
46.0000	1.9844		46.0000	3.4984		46.0000	2.0768		46.0000	5.2650		46.0000	6.1672
47.0000	1.7546		47.0000	3.0680		47.0000	1.9194		47.0000	4.6295		47.0000	5.7071
48.0000	1.5450		48.0000	2.6779		48.0000	1.7570		48.0000	4.0554		48.0000	5.2324
49.0000	1.3554		49.0000	2.3278		49.0000	1.5930		49.0000	3.5415		49.0000	4.7526
50.0000	1.1854		50.0000	2.0166		50.0000	1.4303		50.0000	3.0858		50.0000	4.2765
51.0000	1.0347		51.0000	1.7431		51.0000	1.2716		51.0000	2.6860		51.0000	3.8117
52.0000	0.9023		52.0000	1.5055		52.0000	1.1190		52.0000	2.3392		52.0000	3.3645
53.0000	0.7874		53.0000	1.3021		53.0000	0.9745		53.0000	2.0422		53.0000	2.9401
54.0000	0.6889		54.0000	1.1305		54.0000	0.8393		54.0000	1.7916		54.0000	2.5427
55.0000	0.6058		55.0000	0.9884		55.0000	0.7146		55.0000	1.5838		55.0000	2.1753
56.0000	0.5367		56.0000	0.8732		56.0000	0.6010		56.0000	1.4151		56.0000	1.8398
57.0000	0.4804		57.0000	0.7825		57.0000	0.4990		57.0000	1.2815		57.0000	1.5374
58.0000	0.4356		58.0000	0.7137		58.0000	0.4086		58.0000	1.1793		58.0000	1.2685
59.0000	0.4010		59.0000	0.6640		59.0000	0.3297		59.0000	1.1047		59.0000	1.0327
60.0000	0.3754		60.0000	0.6311		60.0000	0.2620		60.0000	1.0542		60.0000	0.8292
61.0000	0.3575		61.0000	0.6124		61.0000	0.2052		61.0000	1.0241		61.0000	0.6567
62.0000	0.3461		62.0000	0.6055		62.0000	0.1584		62.0000	1.0111		62.0000	0.5135
63.0000	0.3401		63.0000	0.6082		63.0000	0.1211		63.0000	1.0121		63.0000	0.3977
64.0000	0.3384		64.0000	0.6185		64.0000	0.0925		64.0000	1.0241		64.0000	0.3071
65.0000	0.3400		65.0000	0.6344		65.0000	0.0717		65.0000	1.0445		65.0000	0.2395
66.0000	0.3440		66.0000	0.6542		66.0000	0.0580		66.0000	1.0706		66.0000	0.1924
67.0000	0.3497		67.0000	0.6762		67.0000	0.0504		67.0000	1.1003		67.0000	0.1636
68.0000	0.3562		68.0000	0.6990		68.0000	0.0482		68.0000	1.1316		68.0000	0.1505
69.0000	0.3630		69.0000	0.7214		69.0000	0.0504		69.0000	1.1627		69.0000	0.1509
70.0000	0.3695		70.0000	0.7425		70.0000	0.0563		70.0000	1.1920		70.0000	0.1625
71.0000	0.3752		71.0000	0.7612		71.0000	0.0651		71.0000	1.2183		71.0000	0.1831
72.0000	0.3798		72.0000	0.7769		72.0000	0.0762		72.0000	1.2406		72.0000	0.2109
73.0000	0.3830		73.0000	0.7890		73.0000	0.0889		73.0000	1.2579		73.0000	0.2438
74.0000	0.3845		74.0000	0.7972		74.0000	0.1026		74.0000	1.2698		74.0000	0.2803
75.0000	0.3843		75.0000	0.8012		75.0000	0.1168		75.0000	1.2757		75.0000	0.3189
76.0000	0.3823		76.0000	0.8009		76.0000	0.1311		76.0000	1.2755		76.0000	0.3583
77.0000	0.3784		77.0000	0.7962		77.0000	0.1450		77.0000	1.2691		77.0000	0.3974
78.0000	0.3727		78.0000	0.7873		78.0000	0.1584		78.0000	1.2566		78.0000	0.4353
79.0000	0.3652		79.0000	0.7743		79.0000	0.1709		79.0000	1.2383		79.0000	0.4712
80.0000	0.3561		80.0000	0.7575		80.0000	0.1823		80.0000	1.2143		80.0000	0.5046
81.0000	0.3454		81.0000	0.7372		81.0000	0.1926		81.0000	1.1852		81.0000	0.5351
82.0000	0.3335		82.0000	0.7138		82.0000	0.2015		82.0000	1.1515		82.0000	0.5623
83.0000	0.3204		83.0000	0.6876		83.0000	0.2092		83.0000	1.1136		83.0000	0.5860
84.0000	0.3064		84.0000	0.6592		84.0000	0.2155		84.0000	1.0722		84.0000	0.6063
85.0000	0.2917		85.0000	0.6288		85.0000	0.2204		85.0000	1.0278		85.0000	0.6229
86.0000	0.2764		86.0000	0.5970		86.0000	0.2240		86.0000	0.9811		86.0000	0.6361
87.0000	0.2609		87.0000	0.5642		87.0000	0.2263		87.0000	0.9327		87.0000	0.6460
88.0000	0.2452		88.0000	0.5308		88.0000	0.2275		88.0000	0.8831		88.0000	0.6525
89.0000	0.2296		89.0000	0.4972		89.0000	0.2275		89.0000	0.8330		89.0000	0.6561
90.0000	0.2143		90.0000	0.4639		90.0000	0.2265		90.0000	0.7829		90.0000	0.6568
91.0000	0.1995		91.0000	0.4311		91.0000	0.2246		91.0000	0.7333		91.0000	0.6548
92.0000	0.1852		92.0000	0.3993		92.0000	0.2218		92.0000	0.6847		92.0000	0.6505
93.0000	0.1717		93.0000	0.3686		93.0000	0.2183		93.0000	0.6375		93.0000	0.6440
94.0000	0.1590		94.0000	0.3395		94.0000	0.2141		94.0000	0.5921		94.0000	0.6355
95.0000	0.1474		95.0000	0.3121		95.0000	0.2094		95.0000	0.5489		95.0000	0.6254
96.0000	0.1367		96.0000	0.2865		96.0000	0.2042		96.0000	0.5082		96.0000	0.6138
97.0000	0.1272		97.0000	0.2631		97.0000	0.1986		97.0000	0.4702		97.0000	0.6010
98.0000	0.1189		98.0000	0.2418		98.0000	0.1927		98.0000	0.4352		98.0000	0.5871
99.0000	0.1117		99.0000	0.2228		99.0000	0.1866		99.0000	0.4033		99.0000	0.5724
100.0000	0.1058		100.0000	0.2061		100.0000	0.1803		100.0000	0.3746		100.0000	0.5571
101.0000	0.1011		101.0000	0.1917		101.0000	0.1740		101.0000	0.3492		101.0000	0.5413
102.0000	0.0975		102.0000	0.1797		102.0000	0.1677		102.0000	0.3272		102.0000	0.5253
103.0000	0.0952		103.0000	0.1699		103.0000	0.1614		103.0000	0.3084		103.0000	0.5090
104.0000	0.0939		104.0000	0.1624		104.0000	0.1551		104.0000	0.2928		104.0000	0.4927
105.0000	0.0937		105.0000	0.1570		105.0000	0.1490		105.0000	0.2804		105.0000	0.4765
106.0000	0.0945		106.0000	0.1535		106.0000	0.1430		106.0000	0.2710		106.0000	0.4605
107.0000	0.0962		107.0000	0.1520		107.0000	0.1372		107.0000	0.2645		107.0000	0.4447
108.0000	0.0988		108.0000	0.1522		108.0000	0.1316		108.0000	0.2606		108.0000	0.4291
109.0000	0.1021		109.0000	0.1540		109.0000	0.1261		109.0000	0.2593		109.0000	0.4139
110.0000	0.1061		110.0000	0.1572		110.0000	0.1209		110.0000	0.2603		110.0000	0.3991
111.0000	0.1106		111.0000	0.1617		111.0000	0.1159		111.0000	0.2633		111.0000	0.3846
112.0000	0.1157		112.0000	0.1672		112.0000	0.1111		112.0000	0.2682		112.0000	0.3706
113.0000	0.1211		113.0000	0.1737		113.0000	0.1065		113.0000	0.2747		113.0000	0.3569
114.0000	0.1268		114.0000	0.1808		114.0000	0.1021		114.0000	0.2826		114.0000	0.3436
115.0000	0.1328		115.0000	0.1886		115.0000	0.0979		115.0000	0.2916		115.0000	0.3307
116.0000	0.1388		116.0000	0.1967		116.0000	0.0938		116.0000	0.3015		116.0000	0.3181
117.0000	0.1449		117.0000	0.2051		117.0000	0.0900		117.0000	0.3120		117.0000	0.3059
118.0000	0.1510		118.0000	0.2136		118.0000	0.0863		118.0000	0.3230		118.0000	0.2940
119.0000	0.1569		119.0000	0.2221		119.0000	0.0828		119.0000	0.3343		119.0000	0.2824
120.0000	0.1627		120.0000	0.2303		120.0000	0.0794		120.0000	0.3456		120.0000	0.2711
121.0000	0.1683		121.0000	0.2383		121.0000	0.0762		121.0000	0.3568		121.0000	0.2600
122.0000	0.1735		122.0000	0.2459		122.0000	0.0731		122.0000	0.3677		122.0000	0.2492
123.0000	0.1785		123.0000	0.2529		123.0000	0.0701		123.0000	0.3781		123.0000	0.2386
124.0000	0.1830		124.0000	0.2594		124.0000	0.0672		124.0000	0.3879		124.0000	0.2282
125.0000	0.1872		125.0000	0.2653		125.0000	0.0644		125.0000	0.3970		125.0000	0.2181
126.0000	0.1909		126.0000	0.2704		126.0000	0.0617		126.0000	0.4053		126.0000	0.2081
127.0000	0.1941		127.0000	0.2749		127.0000	0.0590		127.0000	0.4127		127.0000	0.1984
128.0000	0.1969		128.0000	0.2785		128.0000	0.0565		128.0000	0.4190		128.0000	0.1889
129.0000	0.1993		129.0000	0.2813		129.0000	0.0540		129.0000	0.4244		129.0000	0.1796
130.0000	0.2011		130.0000	0.2834		130.0000	0.0516		130.0000	0.4286		130.0000	0.1705
131.0000	0.2025		131.0000	0.2846		131.0000	0.0493		131.0000	0.4318		131.0000	0.1617
132.0000	0.2034		132.0000	0.2851		132.0000	0.0471		132.0000	0.4338		132.0000	0.1532
133.0000	0.2038		133.0000	0.2847		133.0000	0.0450		133.0000	0.4346		133.0000	0.1449
134.0000	0.2038		134.0000	0.2837		134.0000	0.0429		134.0000	0.4344		134.0000	0.1370
135.0000	0.2034		135.0000	0.2819		135.0000	0.0410		135.0000	0.4331		135.0000	0.1294
136.0000	0.2025		136.0000	0.2794		136.0000	0.0391		136.0000	0.4307		136.0000	0.1223
137.0000	0.2013		137.0000	0.2763		137.0000	0.0373		137.0000	0.4272		137.0000	0.1155
138.0000	0.1998		138.0000	0.2726		138.0000	0.0357		138.0000	0.4229		138.0000	0.1092
139.0000	0.1979		139.0000	0.2684		139.0000	0.0342		139.0000	0.4176		139.0000	0.1033
140.0000	0.1958		140.0000	0.2638		140.0000	0.0328		140.0000	0.4114		140.0000	0.0979
141.0000	0.1933		141.0000	0.2586		141.0000	0.0315		141.0000	0.4045		141.0000	0.0931
142.0000	0.1907		142.0000	0.2532		142.0000	0.0304		142.0000	0.3968		142.0000	0.0889
143.0000	0.1878		143.0000	0.2474		143.0000	0.0295		143.0000	0.3885		143.0000	0.0852
144.0000	0.1848		144.0000	0.2413		144.0000	0.0286		144.0000	0.3797		144.0000	0.0822
145.0000	0.1816		145.0000	0.2351		145.0000	0.0280		145.0000	0.3703		145.0000	0.0798
146.0000	0.1783		146.0000	0.2287		146.0000	0.0275		146.0000	0.3605		146.0000	0.0781
147.0000	0.1749		147.0000	0.2222		147.0000	0.0272		147.0000	0.3504		147.0000	0.0770
148.0000	0.1714		148.0000	0.2156		148.0000	0.0271		148.0000	0.3400		148.0000	0.0767
149.0000	0.1679		149.0000	0.2090		149.0000	0.0272		149.0000	0.3294		149.0000	0.0770
150.0000	0.1644		150.0000	0.2024		150.0000	0.0274		150.0000	0.3187		150.0000	0.0780
151.0000	0.1609		151.0000	0.1959		151.0000	0.0279		151.0000	0.3079		151.0000	0.0797
152.0000	0.1573		152.0000	0.1895		152.0000	0.0285		152.0000	0.2971		152.0000	0.0820
153.0000	0.1539		153.0000	0.1832		153.0000	0.0292		153.0000	0.2864		153.0000	0.0850
154.0000	0.1504		154.0000	0.1771		154.0000	0.0302		154.0000	0.2757		154.0000	0.0886
155.0000	0.1471		155.0000	0.1711		155.0000	0.0313		155.0000	0.2652		155.0000	0.0928
156.0000	0.1438		156.0000	0.1654		156.0000	0.0325		156.0000	0.2549		156.0000	0.0976
157.0000	0.1406		157.0000	0.1598		157.0000	0.0339		157.0000	0.2448		157.0000	0.1029
158.0000	0.1375		158.0000	0.1545		158.0000	0.0355		158.0000	0.2350		158.0000	0.1087
159.0000	0.1345		159.0000	0.1494		159.0000	0.0371		159.0000	0.2255		159.0000	0.1148
160.0000	0.1316		160.0000	0.1445		160.0000	0.0388		160.0000	0.2164		160.0000	0.1214
161.0000	0.1288		161.0000	0.1399		161.0000	0.0407		161.0000	0.2076		161.0000	0.1282
162.0000	0.1262		162.0000	0.1356		162.0000	0.0426		162.0000	0.1991		162.0000	0.1353
163.0000	0.1237		163.0000	0.1315		163.0000	0.0445		163.0000	0.1911		163.0000	0.1425
164.0000	0.1213		164.0000	0.1277		164.0000	0.0465		164.0000	0.1835		164.0000	0.1498
165.0000	0.1190		165.0000	0.1241		165.0000	0.0485		165.0000	0.1764		165.0000	0.1572
166.0000	0.1169		166.0000	0.1207		166.0000	0.0504		166.0000	0.1696		166.0000	0.1645
167.0000	0.1149		167.0000	0.1177		167.0000	0.0524		167.0000	0.1633		167.0000	0.1717
168.0000	0.1131		168.0000	0.1148		168.0000	0.0543		168.0000	0.1575		168.0000	0.1787
169.0000	0.1114		169.0000	0.1123		169.0000	0.0561		169.0000	0.1522		169.0000	0.1854
170.0000	0.1099		170.0000	0.1099		170.0000	0.0579		170.0000	0.1473		170.0000	0.1918
171.0000	0.1085		171.0000	0.1078		171.0000	0.0595		171.0000	0.1428		171.0000	0.1978
172.0000	0.1072		172.0000	0.1060		172.0000	0.0610		172.0000	0.1389		172.0000	0.2034
173.0000	0.1061		173.0000	0.1043		173.0000	0.0624		173.0000	0.1354		173.0000	0.2085
174.0000	0.1052		174.0000	0.1029		174.0000	0.0636		174.0000	0.1323		174.0000	0.2130
175.0000	0.1043		175.0000	0.1017		175.0000	0.0647		175.0000	0.1298		175.0000	0.2168
176.0000	0.1037		176.0000	0.1008		176.0000	0.0655		176.0000	0.1277		176.0000	0.2201
177.0000	0.1032		177.0000	0.1000		177.0000	0.0662		177.0000	0.1261		177.0000	0.2226
178.0000	0.1028		178.0000	0.0995		178.0000	0.0667		178.0000	0.1249		178.0000	0.2245
179.0000	0.1026		179.0000	0.0992		179.0000	0.0670		179.0000	0.1242		179.0000	0.2256




