179		179		179			179
1	3.984	1	0.02058	1	0.001806	1	0.508848	
2	3.90645	2	0.02057	2	0.001809	2	0.499394	
3	3.77988	3	0.02057	3	0.001812	3	0.484	
4	3.60824	4	0.02059	4	0.001821	4	0.463091	
5	3.39676	5	0.02067	5	0.00183	5	0.437333	
6	3.15187	6	0.02084	6	0.001839	6	0.407455	
7	2.88079	7	0.02114	7	0.001851	7	0.374303	
8	2.59133	8	0.02158	8	0.001869	8	0.338848	
9	2.2916	9	0.02221	9	0.001884	9	0.302061	
10	1.98964	10	0.02305	10	0.001905	10	0.264848	
11	1.69312	11	0.02411	11	0.001926	11	0.228182	
12	1.40912	12	0.02539	12	0.00195	12	0.192848	
13	1.14388	13	0.02689	13	0.00198	13	0.159697	
14	0.902582	14	0.02859	14	0.00201	14	0.129273	
15	0.689224	15	0.03045	15	0.002043	15	0.102061	
16	0.50657	16	0.03243	16	0.002082	16	0.0783636	
17	0.356085	17	0.03448	17	0.002124	17	0.0584848	
18	0.237976	18	0.03654	18	0.002172	18	0.0423636	
19	0.151333	19	0.03854	19	0.002226	19	0.0298788	
20	0.0941818	20	0.04042	20	0.002289	20	0.0209091	
21	0.0636727	21	0.04209	21	0.002364	21	0.0150909	
22	0.0563152	22	0.04351	22	0.002448	22	0.012	
23	0.0681212	23	0.04461	23	0.002547	23	0.0112121	
24	0.0948485	24	0.04535	24	0.002658	24	0.0122424	
25	0.132206	25	0.04568	25	0.002787	25	0.0145455	
26	0.176012	26	0.04558	26	0.002931	26	0.0177576	
27	0.2224	27	0.04506	27	0.003096	27	0.0213333	
28	0.267952	28	0.0441	28	0.003279	28	0.0249697	
29	0.309758	29	0.04273	29	0.00348	29	0.028303	
30	0.345527	30	0.04099	30	0.003702	30	0.0310909	
31	0.373636	31	0.03893	31	0.003936	31	0.0331515	
32	0.393067	32	0.03659	32	0.004188	32	0.0344242	
33	0.40343	33	0.03406	33	0.004449	33	0.0348485	
34	0.404909	34	0.03138	34	0.004719	34	0.0344242	
35	0.398145	35	0.02865	35	0.004992	35	0.0333333	
36	0.38417	36	0.02593	36	0.005262	36	0.0315758	
37	0.364303	37	0.02329	37	0.005529	37	0.0293939	
38	0.340061	38	0.02079	38	0.005787	38	0.0269091	
39	0.313018	39	0.0185	39	0.006027	39	0.024303	
40	0.284739	40	0.01646	40	0.006246	40	0.0217576	
41	0.256703	41	0.01471	41	0.006441	41	0.0194545	
42	0.230206	42	0.01327	42	0.006606	42	0.0174545	
43	0.206352	43	0.01215	43	0.006741	43	0.0158788	
44	0.185976	44	0.01137	44	0.006837	44	0.0148485	
45	0.169624	45	0.0109	45	0.0069	45	0.014303	
46	0.157612	46	0.01073	46	0.006924	46	0.014303	
47	0.149939	47	0.01084	47	0.006909	47	0.0148485	
48	0.146436	48	0.01119	48	0.006855	48	0.0158182	
49	0.146655	49	0.01173	49	0.006768	49	0.0171515	
50	0.150036	50	0.01243	50	0.006645	50	0.0187879	
51	0.155903	51	0.01324	51	0.006492	51	0.0206061	
52	0.163491	52	0.01411	52	0.006312	52	0.0224848	
53	0.172012	53	0.015	53	0.006108	53	0.024303	
54	0.180691	54	0.01588	54	0.005886	54	0.0260606	
55	0.188836	55	0.0167	55	0.005649	55	0.0275152	
56	0.195794	56	0.01744	56	0.005403	56	0.0287273	
57	0.201055	57	0.01806	57	0.005154	57	0.0295758	
58	0.204218	58	0.01855	58	0.004905	58	0.03	
59	0.205018	59	0.0189	59	0.004662	59	0.0300606	
60	0.203309	60	0.01911	60	0.004428	60	0.029697	
61	0.199115	61	0.01916	61	0.004209	61	0.0289091	
62	0.192509	62	0.01906	62	0.004005	62	0.0277576	
63	0.183733	63	0.01883	63	0.003822	63	0.026303	
64	0.173091	64	0.01848	64	0.003663	64	0.0245455	
65	0.160933	65	0.01801	65	0.003528	65	0.0226061	
66	0.147661	66	0.01745	66	0.003414	66	0.0204848	
67	0.133733	67	0.01683	67	0.00333	67	0.018303	
68	0.119576	68	0.01614	68	0.003267	68	0.0160606	
69	0.105588	69	0.01543	69	0.003231	69	0.0138182	
70	0.0921939	70	0.01469	70	0.003213	70	0.011697	
71	0.0797212	71	0.01396	71	0.003216	71	0.00975758	
72	0.0684606	72	0.01324	72	0.003237	72	0.00793939	
73	0.0586545	73	0.01255	73	0.00327	73	0.00630303	
74	0.0504727	74	0.0119	74	0.003312	74	0.00492352	
75	0.0440121	75	0.01129	75	0.003363	75	0.00376776	
76	0.0393212	76	0.01073	76	0.003417	76	0.00285164	
77	0.0363758	77	0.01023	77	0.003471	77	0.00217224	
78	0.035103	78	0.00978	78	0.003522	78	0.00171994	
79	0.0353939	79	0.00939	79	0.00357	79	0.00147958	
80	0.0370667	80	0.00905	80	0.003606	80	0.00143133	
81	0.0399636	81	0.00876	81	0.003636	81	0.001552	
82	0.0438424	82	0.00852	82	0.003654	82	0.001816	
83	0.0485091	83	0.00832	83	0.00366	83	0.00219661	
84	0.0537212	84	0.00815	84	0.003654	84	0.00266667	
85	0.0592606	85	0.00801	85	0.003639	85	0.0031997	
86	0.064897	86	0.00789	86	0.003609	86	0.0037703	
87	0.0704485	87	0.0078	87	0.003567	87	0.00435521	
88	0.0757212	88	0.00772	88	0.003516	88	0.00493315	
89	0.0805697	89	0.00764	89	0.003453	89	0.0054857	
90	0.0848485	90	0.00758	90	0.003384	90	0.00599709	
91	0.0884485	91	0.00752	91	0.003309	91	0.00648485	
92	0.0913091	92	0.00746	92	0.003225	92	0.00684848	
93	0.0933576	93	0.0074	93	0.003138	93	0.00715152	
94	0.0945697	94	0.00735	94	0.003048	94	0.00739394	
95	0.0949576	95	0.00729	95	0.002958	95	0.00757576	
96	0.0945212	96	0.00723	96	0.002865	96	0.00769697	
97	0.093297	97	0.00717	97	0.002769	97	0.00769697	
98	0.0913455	98	0.00711	98	0.002679	98	0.00763636	
99	0.0887273	99	0.00704	99	0.002586	99	0.00751515	
100	0.0855273	100	0.00698	100	0.002499	100	0.00733333	
101	0.0818182	101	0.00692	101	0.002412	101	0.00709091	
102	0.077697	102	0.00686	102	0.002331	102	0.00684848	
103	0.0732606	103	0.00681	103	0.002256	103	0.00648485	
104	0.0685818	104	0.00675	104	0.002184	104	0.00612121	
105	0.0637455	105	0.0067	105	0.002115	105	0.00576012	
106	0.0588606	106	0.00665	106	0.002055	106	0.00536012	
107	0.0539879	107	0.0066	107	0.002001	107	0.00494891	
108	0.0492121	108	0.00655	108	0.001956	108	0.00453279	
109	0.0445818	109	0.0065	109	0.001914	109	0.00411776	
110	0.0401818	110	0.00645	110	0.001881	110	0.00370903	
111	0.0360242	111	0.0064	111	0.001854	111	0.00331145	
112	0.0321818	112	0.00634	112	0.001833	112	0.00292927	
113	0.0286788	113	0.00628	113	0.001818	113	0.00256594	
114	0.0255394	114	0.00622	114	0.001809	114	0.00222461	
115	0.0227636	115	0.00615	115	0.001806	115	0.0019077	
116	0.0203879	116	0.00607	116	0.001809	116	0.00161703	
117	0.0183879	117	0.00598	117	0.001812	117	0.001354	
118	0.0167758	118	0.00589	118	0.001821	118	0.00111958	
119	0.0155394	119	0.00579	119	0.001833	119	0.000914121	
120	0.0146545	120	0.00568	120	0.001845	120	0.000737636	
121	0.0141091	121	0.00557	121	0.00186	121	0.000589758	
122	0.0138788	122	0.00544	122	0.001872	122	0.000469739	
123	0.0139394	123	0.00531	123	0.001887	123	0.000376527	
124	0.0142545	124	0.00518	124	0.001899	124	0.000308794	
125	0.0148	125	0.00503	125	0.001911	125	0.000264958	
126	0.0155394	126	0.00489	126	0.001923	126	0.00024323	
127	0.0164364	127	0.00474	127	0.001932	127	0.000241667	
128	0.0174788	128	0.00459	128	0.001941	128	0.000258164	
129	0.0186061	129	0.00444	129	0.001944	129	0.000290527	
130	0.0198061	130	0.00429	130	0.001947	130	0.000336503	
131	0.0210424	131	0.00414	131	0.00195	131	0.000393788	
132	0.0222909	132	0.00399	132	0.001947	132	0.000460109	
133	0.0235273	133	0.00385	133	0.001944	133	0.000533212	
134	0.0247152	134	0.00372	134	0.001938	134	0.000610909	
135	0.0258303	135	0.0036	135	0.001929	135	0.000691152	
136	0.0268606	136	0.00348	136	0.001917	136	0.000771939	
137	0.0277939	137	0.00337	137	0.001905	137	0.000851515	
138	0.0286061	138	0.00327	138	0.001887	138	0.000928303	
139	0.0292848	139	0.00319	139	0.001869	139	0.00100085	
140	0.0298303	140	0.00311	140	0.001848	140	0.001068	
141	0.0302182	141	0.00305	141	0.001824	141	0.00112873	
142	0.0304606	142	0.003	142	0.001797	142	0.00118248	
143	0.0305576	143	0.00296	143	0.00177	143	0.00122861	
144	0.030497	144	0.00294	144	0.001737	144	0.00126709	
145	0.030303	145	0.00292	145	0.001704	145	0.00129782	
146	0.0299636	146	0.00292	146	0.001668	146	0.00132109	
147	0.0294909	147	0.00293	147	0.001632	147	0.00133745	
148	0.028897	148	0.00294	148	0.001593	148	0.00134745	
149	0.0281818	149	0.00297	149	0.001554	149	0.00135206	
150	0.0273818	150	0.00301	150	0.001512	150	0.00135224	
151	0.026497	151	0.00305	151	0.00147	151	0.00134909	
152	0.0255515	152	0.00311	152	0.001428	152	0.00134376	
153	0.0245455	153	0.00317	153	0.001386	153	0.00133752	
154	0.0234909	154	0.00323	154	0.001344	154	0.00133158	
155	0.0224242	155	0.0033	155	0.001302	155	0.00132721	
156	0.0213455	156	0.00337	156	0.00126	156	0.00132539	
157	0.0202667	157	0.00345	157	0.001218	157	0.00132733	
158	0.0192121	158	0.00353	158	0.001179	158	0.00133382	
159	0.0181818	159	0.00361	159	0.00114	159	0.0013457	
160	0.0171879	160	0.00369	160	0.001104	160	0.00136345	
161	0.0162424	161	0.00376	161	0.001068	161	0.00138752	
162	0.0153576	162	0.00384	162	0.001035	162	0.001418	
163	0.0145333	163	0.00392	163	0.001005	163	0.00145485	
164	0.0137697	164	0.00399	164	0.000972	164	0.00149776	
165	0.0130788	165	0.00407	165	0.000945	165	0.0015463	
166	0.0124485	166	0.00414	166	0.000918	166	0.00159982	
167	0.0118909	167	0.0042	167	0.000891	167	0.00165733	
168	0.0114061	168	0.00426	168	0.00087	168	0.00171794	
169	0.0109818	169	0.00432	169	0.000846	169	0.00178042	
170	0.0106182	170	0.00437	170	0.000828	170	0.00184352	
171	0.010303	171	0.00442	171	0.00081	171	0.00190594	
172	0.0100485	172	0.00447	172	0.000795	172	0.0019663	
173	0.00984242	173	0.00451	173	0.00078	173	0.00202339	
174	0.00967273	174	0.00454	174	0.000768	174	0.00207582	
175	0.00953939	175	0.00457	175	0.000756	175	0.00212242	
176	0.0094303	176	0.00459	176	0.000747	176	0.00216212	
177	0.00935758	177	0.00461	177	0.000741	177	0.002194	
178	0.00930909	178	0.00462	178	0.000738	178	0.00221733	
